Region	KKindex	KKx	KKy	Signal	LMpval	LMq	LMI	geometry
11:110780000-114760000	28	0.27222356616714233	0.49708728039274613	-3.7506204405055246	0.2593348133037339	3	0.15880095294981347	POLYGON ((0.2622337348063141 0.4324696339770802, 0.2557973407540278 0.4337989238206612, 0.2495269064700856 0.4357676375569156, 0.2434857842947245 0.4383558845982382, 0.2377350097495904 0.4415375150003419, 0.2323326848750062 0.4452803836640815, 0.2273333912052052 0.4495466751083738, 0.2227876383124389 0.4542932855329252, 0.2187413534915094 0.4594722583106553, 0.2152354177406159 0.465031268509887, 0.212305252726661 0.4709141515510113, 0.2115367535901891 0.472946253286102, 0.211471519760886 0.4729576016992822, 0.2411325076261875 0.5110848600991096, 0.2972073658380842 0.5230789254778097, 0.2827098516031986 0.4293040443112222, 0.2622337348063141 0.4324696339770802))
11:110780000-114760000	29	0.26377713667223596	0.5365761710540201	-1.125330226978888	0.004919901601967961	4	-0.9070618290551772	POLYGON ((0.2973094272270295 0.5926274096425045, 0.3006180182269148 0.590594560563445, 0.3041930265975439 0.5878985177724905, 0.3161889444832531 0.5569679603617479, 0.3162366651132818 0.543594431976444, 0.2972073658380842 0.5230789254778097, 0.2411325076261875 0.5110848600991096, 0.2424769954396787 0.5601424083997473, 0.2569124628980954 0.5768190898648619, 0.297317814935154 0.5926612402961352, 0.2973094272270295 0.5926274096425045))
11:110780000-114760000	30	0.2199180684862553	0.5377781875576937	-3.7506204405055246	0.10851782964340713	3	0.2527883694594981	POLYGON ((0.2056157512943179 0.4739763013641098, 0.1995311554089996 0.47565242209683, 0.1962462959879261 0.4769090096136914, 0.1963228814427365 0.4752376841758187, 0.1725430718437988 0.5164556969986129, 0.1720272621186983 0.5218394768200832, 0.1816053272810098 0.5543435098832055, 0.2424769954396787 0.5601424083997473, 0.2411325076261875 0.5110848600991096, 0.211471519760886 0.4729576016992822, 0.2056157512943179 0.4739763013641098))
11:110780000-114760000	31	0.2161011410120599	0.5778448902137501	-3.7506204405055246	0.012019759604807903	3	0.3949227640591317	POLYGON ((0.1816053272810098 0.5543435098832055, 0.1724918329764679 0.5957759445017949, 0.1876243693204161 0.6154650694227535, 0.2569124628980954 0.5768190898648619, 0.2424769954396787 0.5601424083997473, 0.1816053272810098 0.5543435098832055))
11:110780000-114760000	32	0.23459562605298248	0.6110035169285116	-3.7506204405055246	0.027439451210975782	3	0.3751957247695209	POLYGON ((0.2998838465989502 0.6098540641765284, 0.2997526628134257 0.6055448065024063, 0.2988057218887811 0.5986625059620072, 0.297317814935154 0.5926612402961352, 0.2569124628980954 0.5768190898648619, 0.1876243693204161 0.6154650694227535, 0.1898161852977856 0.624375166361349, 0.2618827195215855 0.6337248394281468, 0.2999152630085601 0.6098710031968866, 0.2998838465989502 0.6098540641765284))
11:110780000-114760000	33	0.2297010036625056	0.6487308758955872	-3.7506204405055246	0.012579748405031899	3	0.3949227640591317	POLYGON ((0.2127825906420935 0.6805205571970611, 0.2448651849238422 0.6693820633469362, 0.2618827195215855 0.6337248394281468, 0.1898161852977856 0.624375166361349, 0.1825630746858524 0.6646928427920222, 0.2127825906420935 0.6805205571970611))
11:110780000-114760000	34	0.2704578462859565	0.6681822213233471	-3.7506204405055246	0.007739845203095938	3	0.40267267235147874	POLYGON ((0.3148235581292495 0.6201743336871909, 0.3145729314033446 0.6199215103463691, 0.3096172007937648 0.6158201939232396, 0.3042824463911543 0.6122256900991793, 0.2999152630085601 0.6098710031968866, 0.2618827195215855 0.6337248394281468, 0.2448651849238422 0.6693820633469362, 0.2931148181951256 0.7138381779583803, 0.3163119935860974 0.6774715468905537, 0.3211755688802846 0.6444733242831725, 0.3148315946890034 0.6201507539736093, 0.3148235581292495 0.6201743336871909))
11:110780000-114760000	35	0.24576035616079134	0.6949871918358534	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.2931148181951256 0.7138381779583803, 0.2448651849238422 0.6693820633469362, 0.2127825906420935 0.6805205571970611, 0.2245040287244341 0.7135764226292988, 0.2922831075963448 0.7178962668820879, 0.2931148181951256 0.7138381779583803))
11:110780000-114760000	36	0.24322841376714546	0.7347137914898239	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.2965293389555018 0.7397663386775353, 0.2922831075963448 0.7178962668820879, 0.2245040287244341 0.7135764226292988, 0.2081648938397359 0.7481529134133108, 0.208547988235754 0.7509336316975157, 0.2780031022144215 0.7727487337010032, 0.2965293389555018 0.7397663386775353))
11:110780000-114760000	37	0.19628528279315127	0.7125307957171931	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.2081648938397359 0.7481529134133108, 0.2245040287244341 0.7135764226292988, 0.2127825906420935 0.6805205571970611, 0.1825630746858524 0.6646928427920222, 0.16256157407007 0.6779068159418141, 0.1544426123117569 0.7055430195742246, 0.2081648938397359 0.7481529134133108))
